Date,close,high,low,open,volume
2019-04-16,120.77,121.65,120.10,121.64,14071787
2019-04-15,121.05,121.58,120.57,120.94,15792572
2019-04-12,120.95,120.98,120.37,120.64,19745143
2019-04-11,120.33,120.85,119.92,120.54,14209121
2019-04-10,120.19,120.35,119.54,119.76,16477169
2019-04-09,119.28,119.54,118.58,118.63,17611981
2019-04-08,119.93,120.02,118.64,119.81,15116186
2019-04-05,119.89,120.23,119.37,119.39,15826245
2019-04-04,119.36,120.23,118.38,120.10,20112848
2019-04-03,119.97,120.43,119.15,119.86,22860744
2019-04-02,119.19,119.48,118.52,119.06,18142297
2019-04-01,119.02,119.11,118.10,118.95,22789103
2019-03-29,117.94,118.32,116.96,118.07,25399752
2019-03-28,116.93,117.58,116.13,117.44,18334755
2019-03-27,116.77,118.21,115.52,117.88,22733427
2019-03-26,117.91,118.71,116.85,118.62,26097665
2019-03-25,117.66,118.01,116.32,116.56,27067117
2019-03-22,117.05,119.59,117.04,119.50,33624528
2019-03-21,120.22,120.82,117.09,117.14,29854446
2019-03-20,117.52,118.75,116.71,117.39,28113343
2019-03-19,117.65,118.44,116.99,118.09,37588697
2019-03-18,117.57,117.61,116.05,116.17,31207596
2019-03-15,115.91,117.25,114.59,115.34,54630661
2019-03-14,114.59,115.20,114.33,114.54,30763367
2019-03-13,114.50,115.00,113.78,114.13,35513771
2019-03-12,113.62,113.99,112.65,112.82,26132717
2019-03-11,112.83,112.95,110.98,110.99,26491618
2019-03-08,110.51,110.71,108.80,109.16,22818430
2019-03-07,110.39,111.55,109.87,111.40,25338954
2019-03-06,111.75,112.66,111.43,111.87,17686996
2019-03-05,111.70,112.39,111.23,112.25,19538318
2019-03-04,112.26,113.25,110.80,113.02,26608014
2019-03-01,112.53,113.02,111.67,112.89,23501169
2019-02-28,112.03,112.88,111.73,112.04,29083934
2019-02-27,112.17,112.36,110.88,111.69,21487062
2019-02-26,112.36,113.24,111.17,111.26,21536733
2019-02-25,111.59,112.18,111.26,111.76,23750599
2019-02-22,110.97,111.20,109.82,110.05,27763218
2019-02-21,109.41,109.48,106.87,106.90,29063231
2019-02-20,107.15,107.94,106.29,107.86,21607671
2019-02-19,108.17,108.66,107.78,107.79,18038460
2019-02-15,108.22,108.30,107.36,107.91,26606886
2019-02-14,106.90,107.29,105.66,106.31,21784703
2019-02-13,106.81,107.78,106.71,107.50,18394869
2019-02-12,106.89,107.14,105.48,106.14,25056595
2019-02-11,105.25,106.58,104.97,106.20,18914123
2019-02-08,105.67,105.78,104.26,104.39,21461093
2019-02-07,105.27,105.59,104.29,105.19,29760697
2019-02-06,106.03,107.00,105.53,107.00,20609759
2019-02-05,107.22,107.27,105.96,106.06,27325365
2019-02-04,105.74,105.80,102.77,102.87,31315282
2019-02-01,102.78,104.10,102.35,103.78,35535690
2019-01-31,104.43,105.22,103.18,103.80,55636391
2019-01-30,106.38,106.38,104.33,104.62,49471866
2019-01-29,102.94,104.97,102.17,104.88,31490547
2019-01-28,105.08,106.48,104.66,106.26,29476719
2019-01-25,107.17,107.88,106.59,107.24,31218193
2019-01-24,106.20,107.00,105.34,106.86,23164838
2019-01-23,106.71,107.04,105.34,106.12,25874294
2019-01-22,105.68,107.10,104.86,106.75,32371253
2019-01-18,107.71,107.90,105.91,107.46,37427587
2019-01-17,106.12,106.63,104.76,105.00,28393015
2019-01-16,105.38,106.26,104.96,105.26,29853865
2019-01-15,105.01,105.05,101.88,102.51,31587616
2019-01-14,102.05,102.87,101.26,101.90,28437079
2019-01-11,102.80,103.44,101.64,103.19,28314202
2019-01-10,103.60,103.75,102.38,103.22,30067556
2019-01-09,104.27,104.88,103.24,103.86,32280840
2019-01-08,102.80,103.97,101.71,103.04,31514415
2019-01-07,102.06,103.27,100.98,101.64,35656136
2019-01-04,101.93,102.51,98.93,99.72,44060620
2019-01-03,97.40,100.19,97.20,100.10,42578410
2019-01-02,101.12,101.75,98.94,99.55,35329345
2018-12-31,101.57,102.40,100.44,101.29,33173765
2018-12-28,100.39,102.41,99.52,102.09,38169312
2018-12-27,101.18,101.19,96.40,99.30,49498509
2018-12-26,100.56,100.69,93.96,95.14,51634793
2018-12-24,94.13,97.97,93.98,97.68,43935192
2018-12-21,98.23,103.00,97.46,101.63,111242070
2018-12-20,101.51,104.31,98.78,103.05,70334184
2018-12-19,103.69,106.88,101.35,103.65,68198186
2018-12-18,103.97,104.51,102.52,103.75,49319196
2018-12-17,102.89,105.80,101.71,105.41,56957314
2018-12-14,106.03,109.26,105.50,108.25,47043136
2018-12-13,109.45,110.87,108.63,109.58,31333362
2018-12-12,109.08,111.27,109.04,110.89,36183020
2018-12-11,108.59,110.95,107.44,109.80,42381947
2018-12-10,107.59,107.98,103.89,104.80,40801525
2018-12-07,104.82,109.45,104.30,108.38,45044937
2018-12-06,109.19,109.24,105.00,105.82,49107431
2018-12-04,108.52,112.64,108.21,111.94,45196984
2018-12-03,112.09,113.42,110.73,113.00,34732772
2018-11-30,110.89,110.97,109.36,110.70,33665624
2018-11-29,110.19,111.12,109.03,110.33,28123195
2018-11-28,111.12,111.33,107.86,107.89,46788461
2018-11-27,107.14,107.33,105.36,106.27,29124486
2018-11-26,106.47,106.63,104.58,104.79,32336165
2018-11-23,103.07,103.81,102.00,102.17,13823099
2018-11-21,103.11,104.43,102.24,103.60,28130621
2018-11-20,101.71,102.97,99.35,101.80,64052457
2018-11-19,104.62,108.56,103.55,108.27,44773899
2018-11-16,108.29,108.88,106.80,107.08,33502121
2018-11-15,107.28,107.80,103.91,104.99,38505165
2018-11-14,104.97,108.26,104.47,108.10,39495141
2018-11-13,106.94,108.74,106.64,107.55,35374583
2018-11-12,106.87,109.96,106.10,109.42,33621807
2018-11-09,109.57,111.45,108.76,110.85,32039223
2018-11-08,111.75,112.21,110.91,111.80,25644105
2018-11-07,111.96,112.24,109.40,109.44,37901704
2018-11-06,107.72,108.84,106.28,107.38,24340248
2018-11-05,107.51,107.74,105.90,106.37,27922144
2018-11-02,106.16,107.32,104.98,106.48,37680194
2018-11-01,105.92,107.32,105.53,107.05,33384201
2018-10-31,106.81,108.14,105.39,105.44,51062383
2018-10-30,103.73,104.38,100.11,103.66,65350878
2018-10-29,103.85,108.70,101.63,108.11,55162001
2018-10-26,106.96,108.75,104.76,105.69,55523104
2018-10-25,108.30,109.27,106.15,106.55,61646819
2018-10-24,102.32,108.49,101.59,108.41,63897759
2018-10-23,108.10,108.97,105.11,107.77,43770429
2018-10-22,109.63,110.54,108.24,109.32,26545607
2018-10-19,108.66,110.86,108.21,108.93,32785475
2018-10-18,108.50,110.53,107.83,110.10,32506192
2018-10-17,110.71,111.81,109.55,111.68,26548243
2018-10-16,111.00,111.41,108.95,109.54,31610164
2018-10-15,107.60,109.48,106.95,108.91,32068103
2018-10-12,109.57,111.24,107.12,109.01,47742109
2018-10-11,105.91,108.93,104.20,105.35,63904282
2018-10-10,106.16,111.50,105.79,111.24,61376315
2018-10-09,112.26,113.08,110.80,111.14,26198594
2018-10-08,110.85,112.03,109.34,111.66,29640588
2018-10-05,112.13,113.17,110.64,112.63,29068859
2018-10-04,112.79,114.76,111.63,114.61,34821717
2018-10-03,115.17,116.18,114.93,115.42,16648018
2018-10-02,115.15,115.84,114.44,115.30,20787239
2018-10-01,115.61,115.68,114.73,114.75,18883079
2018-09-28,114.37,114.57,113.68,114.19,21647811
2018-09-27,114.41,114.91,114.20,114.78,19091299
2018-09-26,113.98,115.06,113.74,114.47,19352025
2018-09-25,114.45,115.10,113.75,114.80,22668014
2018-09-24,114.67,114.90,112.22,113.03,27334460
2018-09-21,114.26,115.29,113.51,114.00,71229698
2018-09-20,113.57,113.80,111.93,112.28,23714512
2018-09-19,111.70,113.32,111.04,113.05,21728429
2018-09-18,113.21,113.70,111.72,112.19,22170934
2018-09-17,112.14,113.70,111.86,113.69,20736516
2018-09-14,113.37,113.73,112.44,113.36,19122349
2018-09-13,112.91,113.73,112.12,112.12,26055620
2018-09-12,111.71,111.85,110.51,111.43,18891064
2018-09-11,111.24,111.59,108.89,108.90,24301774
2018-09-10,109.38,109.64,108.36,108.84,20727906
2018-09-07,108.21,108.72,107.23,108.23,22498646
2018-09-06,108.74,108.99,107.51,108.25,23477624
2018-09-05,108.49,111.42,108.10,111.01,32872352
2018-09-04,111.71,111.96,110.22,110.85,22634641
2018-08-31,112.33,112.78,111.52,111.69,23222713
2018-08-30,111.95,112.61,111.44,111.67,22798702
2018-08-29,112.02,112.03,110.27,110.45,20818044
2018-08-28,110.26,110.50,109.79,109.94,19151528
2018-08-27,109.60,109.64,108.51,109.27,19662331
2018-08-24,108.40,108.56,107.56,107.67,17234020
2018-08-23,107.56,108.18,106.87,107.15,18167723
2018-08-22,107.06,107.34,105.78,105.85,18000639
2018-08-21,105.98,107.35,105.85,106.92,22881861
2018-08-20,106.87,107.90,106.48,107.51,17914201
2018-08-17,107.58,107.90,106.69,107.36,18061512
2018-08-16,107.64,108.86,107.30,108.30,21384289
2018-08-15,107.66,108.99,106.82,108.49,29982806
2018-08-14,109.56,109.75,108.04,108.56,16788314
2018-08-13,108.21,109.58,108.10,109.24,18474884
2018-08-10,109.00,109.69,108.38,109.42,18183724
2018-08-09,109.67,110.16,109.60,109.71,13677211
2018-08-08,109.49,109.75,108.76,109.33,15487502
2018-08-07,108.88,109.10,108.17,108.56,16080214
2018-08-06,108.13,108.42,107.56,108.12,20265947
2018-08-03,108.04,108.05,106.82,107.80,18659599
2018-08-02,107.57,108.09,104.84,105.40,26104258
2018-08-01,106.28,106.45,105.42,106.03,23628699
2018-07-31,106.08,106.72,105.38,106.49,27655152
2018-07-30,105.37,107.53,104.76,107.19,34668327
2018-07-27,107.68,110.18,106.14,110.18,37005292
2018-07-26,109.62,111.00,109.50,110.74,31372110
2018-07-25,110.83,111.15,107.60,107.96,30798058
2018-07-24,107.66,108.82,107.26,108.57,26316619
2018-07-23,107.97,108.14,106.13,106.30,29706955
2018-07-20,106.27,108.20,106.08,108.08,56038827
2018-07-19,104.40,105.31,103.89,104.93,40171646
2018-07-18,105.12,106.05,104.72,105.94,29493927
2018-07-17,105.95,106.50,104.32,104.61,25901726
2018-07-16,104.91,105.82,104.52,105.40,21786912
2018-07-13,105.43,105.60,104.09,104.37,24653500
2018-07-12,104.19,104.41,102.73,102.77,24335929
2018-07-11,101.98,102.34,101.10,101.15,19644648
2018-07-10,102.12,102.51,101.86,102.00,19293140
2018-07-09,101.85,102.25,101.25,101.65,18211980
2018-07-06,101.16,101.43,99.67,99.89,19234627
2018-07-05,99.76,99.92,99.03,99.50,18977402
2018-07-03,99.05,100.63,98.94,100.48,14670275
2018-07-02,100.01,100.06,98.00,98.10,19564521
2018-06-29,98.61,99.91,98.33,98.93,28053214
2018-06-28,98.63,99.11,97.26,97.38,26650671
2018-06-27,97.54,100.02,97.40,99.58,31298386
2018-06-26,99.08,100.08,98.75,98.82,26897244
2018-06-25,98.39,100.11,97.30,100.00,35433333
2018-06-22,100.41,100.77,99.63,100.41,38923105
2018-06-21,101.14,102.46,100.88,102.08,23198188
2018-06-20,101.87,102.52,101.12,101.37,26180792
2018-06-19,100.86,101.00,99.50,99.65,28653087
2018-06-18,100.86,101.11,99.42,100.01,23586037
2018-06-15,100.13,101.53,100.07,101.51,65738585
2018-06-14,101.42,102.03,101.00,101.65,25691811
2018-06-13,100.85,102.01,100.56,101.72,29492875
2018-06-12,101.31,101.45,100.75,101.10,18325228
2018-06-11,101.05,101.59,100.67,101.37,23490894
2018-06-08,101.63,101.95,100.54,101.09,22165128
2018-06-07,100.88,102.69,100.38,102.65,28232197
2018-06-06,102.49,102.60,101.90,102.48,21122917
2018-06-05,102.19,102.33,101.53,102.00,23514402
2018-06-04,101.67,101.86,100.85,101.26,27281623
2018-06-01,100.79,100.86,99.17,99.28,28655624
2018-05-31,98.84,99.99,98.61,99.29,34140891
2018-05-30,98.95,99.25,97.91,98.31,22158528
2018-05-29,98.01,98.88,97.23,97.84,28670981
2018-05-25,98.36,98.98,97.86,98.30,18363918
2018-05-24,98.31,98.94,96.81,98.73,26649287
2018-05-23,98.66,98.73,96.32,96.71,21251222
2018-05-22,97.50,98.17,97.20,97.68,15441189
2018-05-21,97.60,98.01,96.80,97.00,19422467
2018-05-18,96.36,96.93,96.01,96.01,17865840
2018-05-17,96.18,97.54,95.83,96.76,17246716
2018-05-16,97.15,97.40,96.62,97.36,17384742
2018-05-15,97.32,97.85,96.34,97.24,24594010
2018-05-14,98.03,98.69,97.31,97.92,19454124
2018-05-11,97.70,97.87,97.04,97.80,16778316
2018-05-10,97.91,97.95,97.05,97.46,22388119
2018-05-09,96.94,96.97,95.05,96.01,27327410
2018-05-08,95.81,96.16,95.06,95.85,23484589
2018-05-07,96.22,96.71,95.10,95.17,24242019
2018-05-04,95.16,95.37,92.92,93.32,22531325
2018-05-03,94.07,94.93,92.45,92.96,31142497
2018-05-02,93.51,95.17,93.19,94.99,27471002
2018-05-01,95.00,95.29,92.79,93.21,31408927
2018-04-30,93.52,96.40,93.15,96.33,41523605
2018-04-27,95.82,97.90,93.91,97.60,48272780
2018-04-26,94.26,95.15,93.10,93.55,42529043
2018-04-25,92.31,93.30,90.28,93.30,33729257
2018-04-24,93.12,96.47,92.41,96.24,34524799
2018-04-23,95.35,96.29,94.63,95.74,22331829
